Object,R. A.,Dec. Redshift,Type,E(B V )MW,,,Decline time,Reference
SNLS06D4eu,22:15:54.29,18:10:45.6 1.588,SLSN-I,0.02,,,· · ·,[22]
SSS1208108,23:18:01.82,56:09:25.7 0.156,SLSN-I,0.02,,,30.2 (fast),"[2, 23]"
"",,Non-spectroscopic sample (46),,,,,,
CSS1002179,10:29:12.56,+40:42:20.0 0.147,SLSN-IIn,0.01,,,· · ·,[24]
CSS12101510,00:42:44.34,+13:28:26.5 0.286,SLSN-II,0.07,,,37.8 (fast),"[2, 25]"
CSS14092511,00:58:54.11,+18:13:22.2 0.460,SLSN-I,0.06,,,· · ·,[26]
DES14S2qri,02:43:32.14,01:07:34.2 1.500,SLSN-I,0.03,,,· · ·,[27]
DES14X2byo,02:23:46.93,06:08:12.3 0.869,SLSN-I,0.03,,,· · ·,[28]
DES14X3taz,02:28:04.46,04:05:12.7 0.608,SLSN-I,0.02,,,· · ·,[29]
iPTF13ajg,16:39:03.95,+37:01:38.4 0.740,SLSN-I,0.01,,,62.0 (slow),"[2, 30]"
LSQ12dlf12,01:50:29.80,21:48:45.4 0.255,SLSN-I,0.01,,,35.4 (fast),"[2, 23]"
LSQ14an,12:53:47.83,29:31:27.2 0.163,SLSN-I,0.07,,,· · ·,[31]
LSQ14mo,10:22:41.53,16:55:14.4 0.2561,SLSN-I,0.06,,,27.3 (fast),"[2, 32]"
LSQ14bdq,10:01:41.60,12:22:13.4 0.345,SLSN-I,0.06,,,71.2 (slow),"[2, 33]"
LSQ14fxj,02:39:12.61,+03:19:29.6 0.360,SLSN-I,0.03,,,· · ·,[34]
MLS12110413,02:16:42.51,+20:40:08.5 0.303,SLSN-I,0.15,,,· · ·,"[35, 36]"
PS1-10ky,22:13:37.85,+01:14:23.6 0.956,SLSN-I,0.03,,,32.5 (fast),"[2, 37]"
PS1-10pm,12:12:42.20,+46:59:29.5 1.206,SLSN-I,0.02,,,· · ·,[38]
PS1-10ahf,23:32:28.30,00:21:43.6 1.100,SLSN-I,0.03,,,· · ·,[38]
PS1-10awh,22:14:29.83,00:04:03.6 0.909,SLSN-I,0.07,,,· · ·,[37]
PS1-11tt,16:12:45.78,+54:04:17.0 1.283,SLSN-I,0.01,,,· · ·,[39]
PS1-11afv,12:15:37.77,+48:10:48.6 1.407,SLSN-I,0.01,,,· · ·,[39]
PS1-11aib,22:18:12.22,+01:33:32.0 0.997,SLSN-I,0.04,,,· · ·,[39]
PS1-11bam,08:41:14.19,+44:01:57.0 1.565,SLSN-I,0.02,,,· · ·,[40]
PS1-11bdn,02:25:46.29,05:06:56.6 0.738,SLSN-I,0.02,,,· · ·,[39]
PS1-12zn,09:59:49.62,+02:51:31.9 0.674,SLSN-I,0.02,,,· · ·,[39]
PS1-12bmy,03:34:13.12,26:31:17.2 1.566,SLSN-I,0.01,,,· · ·,[39]
PS1-12bqf,02:24:54.62,04:50:22.7 0.522,SLSN-I,0.02,,,· · ·,[39]
PS1-13gt,12:18:02.03,+47:34:46.0 0.884,SLSN-I,0.02,,,· · ·,[39]
PTF09atu,16:30:24.55,+23:38:25.0 0.501,SLSN-I,0.04,,,· · ·,[4]
PTF11rks,01:39:45.51,+29:55:27.0 0.190,SLSN-I,0.04,,,22.3 (fast),"[2, 6, 41]"
SCP06F6,14:32:27.40,+33:32:24.8 1.189,SLSN-I,0.01,,,39.8 (fast),"[2, 42]"
SN2003ma,05:31:01.88,70:04:15.9 0.289,SLSN-IIn,0.31,,,· · ·,[43]
SN2005ap,13:01:14.83,+27:43:32.3 0.283,SLSN-I,0.01,,,28.8 (fast),"[2, 44]"
SN2006gy,03:17:27.06,+41:24:19.5 0.019,SLSN-IIn,0.14,,,· · ·,[45]
SN2007bw14,17:11:01.99,+24:30:36.4 0.140,SLSN-IIn,0.04,,,· · ·,[46]
SN2008es15,11:56:49.13,+54:27:25.7 0.205,SLSN-II,0.01,,,38.0 (fast),"[2, 47, 48]"
SN2008fz16,23:16:16.60,+11:42:47.5 0.133,SLSN-IIn,0.04,,,· · ·,[49]
SN2009de17,13:00:37.49,+17:50:57.0 0.311,SLSN-I,0.04,,,· · ·,"[50, 51, 52]"
SN2009nm18,10:05:24.54,+51:16:38.7 0.210,SLSN-IIn,0.01,,,· · ·,"[53, 54]"
